timestamp[ns],train_inference_time[ns]
260538017578405,35948
260538017621708,1502
260538017624533,1232
260538017626877,1162
260538017629131,1113
260538017631315,1133
260538017633540,1112
260538017635794,1123
260538017637959,1112
260538017640223,1132
260538017642417,1112
260538017644521,1202
260538017646756,1101
260538017648939,1132
260538017651134,1152
260538017653408,1122
260538017655622,1122
260538017657866,1102
260538017660030,1113
260538017662225,1122
260538017664389,1101
260538017666563,1101
260538017668717,1101
260538017670870,1122
260538017673055,1123
260538017675180,1101
260538017677363,1113
260538017679498,1102
260538017681662,1122
260538017683796,1102
260538017686000,1122
260538017688294,1122
260538017690488,1122
260538017692632,1112
260538017694916,1113
260538017697061,1101
260538017699175,1111
260538017701419,1122
260538017703693,1132
260538017705877,1122
260538017708131,1122
260538017711739,1192
260538017713993,1122
260538017716187,1103
260538017718311,1113
260538017720445,1112
260538017722680,1131
260538017724874,1122
260538017727038,1112
260538017729212,1112
